Prestazione,Regione,Provincia,Fonte,Ospedale,Tipologia,Eseguiti,Rinviati,Eseguiti nel 2019,Variazione percentuale,Note,Traduzione
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale San Giovanni Battista di Foligno,Screening cancro al seno,192,1372,:,-87.7237851662404,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale San Giovanni Battista di Foligno,Screening cancro al colon retto,30,6,:,-16.6666666666667,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale civile San Matteo degli Infermi di Spoleto,Screening cancro al seno,73,1415,:,-95.0940860215054,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale civile San Matteo degli Infermi di Spoleto,Screening cancro al colon retto,14,2,:,-12.5,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Unità mobile di Norcia,Screening cancro al seno,0,26,:,-100.0,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Centro screening mammografico di Terni,Screening cancro al seno,267,1569,:,-85.4575163398693,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria della Stella di Orvieto,Screening cancro al seno,38,773,:,-95.3144266337855,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale di Narni,Screening cancro al colon retto,43,8,:,-15.6862745098039,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria della Stella di Orvieto,Screening cancro al colon retto,20,7,:,-25.9259259259259,,
Screening oncologico,Lombardia,Cremona,Asst Cremona,Asst Cremona,Screening cancro al seno,92,1510,:,-94.2571785268414,Il dati sono una nostra elaborazione a partire dai dati forniti,The data is our processing starting from the data provided
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Forlì,Screening cancro al seno,580,3007,:,-83.8304990242543,,
Screening oncologico,Emilia Romagna,Ravenna,Ausl Romagna,Ambito di Ravenna,Screening cancro al seno,615,7900,:,-92.7774515560775,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Cesena,Screening cancro al seno,331,4001,:,-92.3591874422899,,
Screening oncologico,Emilia Romagna,Rimini,Ausl Romagna,Ambito di Rimini,Screening cancro al seno,483,7825,:,-94.1863264323544,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Forlì,Screening cancro al colon retto,328,4500,:,-93.2062966031483,,
Screening oncologico,Emilia Romagna,Ravenna,Ausl Romagna,Ambito di Ravenna,Screening cancro al colon retto,1025,11600,:,-91.8811881188119,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Cesena,Screening cancro al colon retto,576,4506,:,-88.6658795749705,,
Screening oncologico,Emilia Romagna,Rimini,Ausl Romagna,Ambito di Rimini,Screening cancro al colon retto,638,8600,:,-93.0937432344663,,
