Service,Region,Province,Source,Hospital,Type,Delivered,Postponed,Delivered in 2019,Rate change,Notes
Medical exams,Lombardy,Mantova,Ats Valpadana,Poliambulatorio di Viadana,Total,12,:,243,-95.0617284,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Mantova,Ats Valpadana,Ospedale di Asola,Total,766,:,2108,-63.66223909,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Mantova,Ats Valpadana,Polo Sanitario Nuovo Robbiani,Total,1343,:,4338,-69.04103273,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Roma,Ospedale Sant'Andrea,Ospedale Sant'Andrea,Total,7491,:,19726,-62.02473892,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Veneto,Vicenza,Azienda ULSS 8 Berica,Azienda ULSS 8 Berica,Total,21019,:,34279,-38.68257534,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Firenze,AOU Meyer,Azienda ospedaliero universitaria Meyer,Total,1285,:,4302,-70.13017201,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Consultori,Total,424,:,1488,-71.50537634,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Centri TSRMEE,Total,1658,:,8677,-80.89201337,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale San Giovanni di Dio di Fondi,Total,13711,:,45664,-69.97415907,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Dono Svizzero di Formia,Total,25810,:,75159,-65.65946859,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Santa Maria Goretti di Latina,Total,27632,:,62549,-55.82343443,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio Ospedale Fiorini di Terracina,Total,15904,:,50732,-68.65095009,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Aprilia,Total,14156,:,31403,-54.92150431,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Cisterna,Total,12511,:,32508,-61.51408884,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Cori,Total,6506,:,13887,-53.15042846,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Fondi,Total,114,:,453,-74.83443709,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Gaeta,Total,13526,:,42436,-68.12611933,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Itri,Total,2951,:,5527,-46.60756287,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Latina,Total,21930,:,65782,-66.66261287,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Minturno,Total,12683,:,38107,-66.717401,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Norma,Total,106,:,1079,-90.17608897,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Pontinia,Total,2147,:,7073,-69.64512937,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Ponza,Total,2366,:,3691,-35.89813059,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Priverno,Total,11802,:,30148,-60.85312459,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Sabaudia,Total,43,:,332,-87.04819277,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Sezze,Total,11221,:,30462,-63.16394196,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Ss. Cosma E Damiano,Total,658,:,4069,-83.8289506,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Terracina,Total,258,:,1386,-81.38528139,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lazio,Latina,Asl Latina,Poliambulatorio territoriale Ventotene,Total,446,:,480,-7.083333333,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Brescia,Asst del Garda,Asst del Garda,Total,45322,:,71952,-37.01078497,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Corigliano,Total,13426,:,31319,-57.13145375,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Rossano,Total,25786,:,49034,-47.41199984,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Cetraro,Total,19537,:,21147,-7.613373055,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Castrovillari,Total,21862,:,55515,-60.61965235,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Paola,Total,17455,:,33853,-48.43883851,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Praia a Mare,Total,8641,:,19890,-56.55605832,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di San Giovanni in Fiore,Total,11027,:,32642,-66.21836897,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Trebisacce,Total,12203,:,33308,-63.363156,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Calabria,Cosenza,Asp Cosenza,Ospedale di Acri,Total,12301,:,42253,-70.88727428,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Pisa,AOU Pisana,AOU Pisana,Total,23732,:,53085,-55.29433927,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Ferrara,AOU Arcispedale Sant'Anna di Ferrara,AOU Arcispedale Sant'Anna di Ferrara,Total,10463,:,33185,-68.47069459,"The comparison is not on the referrals, but on the performance of the same period of 2019. The health local district specifies that no urgent performance has been postponed"
Medical exams,Sicily,Messina,Ao Papardo,Ao Papardo,Total,3900,:,10420,-62.57197697,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Liguria,Genova,Ospedale Evangelico Internazionale,Ospedale Evangelico Internazionale,Total,2284,:,9968,-77.08667737,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Friuli Venezia Giulia,Trieste,IRCCS Materno Infantile Burlo Garofolo,IRCCS Materno Infantile Burlo Garofolo,Total,6578,:,18633,-64.69704288,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Massa Carrara,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero delle Apuane,Total,9198,:,14238,-35.39823009,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Massa Carrara,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero della Lunigiana,Total,1709,:,5143,-66.77036749,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Lucca,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero della Piana di Lucca,Total,9477,:,12755,-25.6997256,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Lucca,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero della Valle del Serchio,Total,2781,:,5323,-47.75502536,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Pisa,Azienda Usl Toscana Nord Ovest,Zona Pisana,Total,889,:,4240,-79.03301887,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Pisa,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero della Val d'Era,Total,8776,:,12643,-30.58609507,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Livorno,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero dell'Alta Val di Cecina,Total,2025,:,3394,-40.33588686,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Livorno,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero Livornese,Total,10951,:,15674,-30.13270384,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Livorno,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero dell'Elba,Total,1900,:,3147,-39.62503972,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Livorno,Azienda Usl Toscana Nord Ovest,Presidio Ospedaliero della Val di Cornia,Total,4307,:,5331,-19.20840368,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Tuscany,Livorno,Azienda Usl Toscana Nord Ovest,"Presidio Ospedaliero Ospedale Unico ""Versilia""",Total,4666,:,14193,-67.12463891,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Pavia,Ats Pavia,Policlinico San Matteo di Pavia,Total,131753,:,313765,-58.00901949,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Pavia,Ats Pavia,IRCCS Maugeri di Pavia,Total,28230,:,104157,-72.89668481,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Pavia,Ats Pavia,IRCCS Mondino,Total,2782,:,16596,-83.23692456,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Pavia,Ats Pavia,IRCCS Maugeri di Montescano,Total,711,:,9103,-92.18938811,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Brescia,Asst Valcamonica,Asst Valcamonica,Total,3247,:,12093,-73.14975606,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Trentino Alto Adige,Bolzano,Azienda sanitaria dell'Alto Adige,Ospedale central di Bolzano,Total,79072,:,201405,-60.73980288,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Trentino Alto Adige,Bolzano,Azienda sanitaria dell'Alto Adige,Ospedale di Merano,Total,60243,:,106302,-43.32844161,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Trentino Alto Adige,Bolzano,Azienda sanitaria dell'Alto Adige,Ospedale di Bressanone,Total,35202,:,90546,-61.12252336,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Trentino Alto Adige,Bolzano,Azienda sanitaria dell'Alto Adige,Ospedale di Brunico,Total,38600,:,99879,-61.35323742,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Lombardy,Milano,IRCCS Istituto tumori di Milano,IRCCS Istituto tumori di Milano,Total,14924,:,21665,-31.11470113,"The IRCCS specifies that the reduction is due in particular to the non-influx of patients from outside the region. The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Reggio Emilia,Total,19042,:,39315,-51.56556022,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Correggio,Total,2614,:,10109,-74.14185379,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Scandiano,Total,3822,:,13198,-71.04106683,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Distretto di Reggio Emilia,Total,1309,:,9456,-86.15693739,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Montecchio,Total,2040,:,6882,-70.35745423,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Castelnovo Monti,Total,1770,:,5792,-69.44060773,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Guastalla,Total,3933,:,10269,-61.70026293,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Campania,Avellino,AORN San Giuseppe Moscati di Avellino,AORN San Giuseppe Moscati di Avellino,Total,3497,:,11722,-70.16720696,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Emilia Romagna,Bologna,Ausl Bologna,Ausl Bologna,Total,40057,:,107446,-62.71894719,"The comparison is not on the referrals, but on the performance of the same period of 2019"
Medical exams,Basilicata,Potenza,AO San Carlo,AO San Carlo,Total,6321,17314,:,-73.25576476,
Medical exams,Basilicata,Matera,ASM Matera,Distretto di Matera,Total,41752,0,:,0.0,
Medical exams,Basilicata,Matera,ASM Matera,Distretto di Policoro,Total,16083,1618,:,-9.140726513,
Medical exams,Basilicata,Potenza,ASP Potenza,Dip. Prevenzione - Neuropsichiatria infantile,Total,1,58,:,-98.30508475,
Medical exams,Basilicata,Potenza,ASP Potenza,Dipartimento Salute Mentale,Total,23,69,:,-75.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Brienza,Total,0,2,:,-100.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Genzano di Lucania,Total,3,127,:,-97.69230769,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Lagonegro,Total,13,47,:,-78.33333333,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Lavello,Total,12,183,:,-93.84615385,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Melfi,Total,3,79,:,-96.34146341,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Rionero,Total,14,255,:,-94.79553903,
Medical exams,Basilicata,Potenza,ASP Potenza,Distretto Villa D'Agri,Total,49,381,:,-88.60465116,
Medical exams,Basilicata,Potenza,ASP Potenza,Ex-Ospedale Pescopagano,Total,0,21,:,-100.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Ospedale di Chiaromonte,Total,77,381,:,-83.18777293,
Medical exams,Basilicata,Potenza,ASP Potenza,Ospedale di Lauria,Total,162,656,:,-80.19559902,
Medical exams,Basilicata,Potenza,ASP Potenza,Ospedale di Maratea,Total,21,194,:,-90.23255814,
Medical exams,Basilicata,Potenza,ASP Potenza,Ospedale Venosa,Total,181,2169,:,-92.29787234,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Avigliano,Total,7,138,:,-95.17241379,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio di Rotonda,Total,0,20,:,-100.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio di Senise,Total,31,287,:,-90.25157233,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Muro Lucano,Total,13,167,:,-92.77777778,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Oppido Lucano,Total,0,9,:,-100.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Picerno,Total,0,27,:,-100.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Potenza,Total,438,4620,:,-91.34045077,
Medical exams,Basilicata,Potenza,ASP Potenza,Poliambulatorio Sant'Arcangelo,Total,10,425,:,-97.70114943,
Medical exams,Basilicata,Potenza,ASP Potenza,Servizi ASP Ospedale Melfi,Total,6,6,:,-50.0,
Medical exams,Basilicata,Potenza,ASP Potenza,Servizi ASP Ospedale VdA,Total,34,15,:,-30.6122449,
Medical exams,Basilicata,Potenza,ASP Potenza,Sub Distretto Palazzo San Gervasio,Total,0,35,:,-100.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,Centro Salute mentale di Chieti,Total,58,0,:,0.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Atessa,Total,24,8,:,-25.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Bucchianico,Total,17,12,:,-41.37931034,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Casalbordino,Total,31,13,:,-29.54545455,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Casoli,Total,45,39,:,-46.42857143,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Castiglione Messer Marino,Total,148,23,:,-13.4502924,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Chieti centro,Total,463,193,:,-29.42073171,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Fossacesia,Total,17,6,:,-26.08695652,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Francavilla al mare,Total,731,339,:,-31.68224299,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Gissi,Total,16,6,:,-27.27272727,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Guardiagrele,Total,208,101,:,-32.68608414,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Lama dei Peligni,Total,94,7,:,-6.930693069,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Lanciano,Total,230,99,:,-30.09118541,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Miglianico,Total,17,10,:,-37.03703704,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Orsogna,Total,10,0,:,0.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Ortona,Total,433,137,:,-24.03508772,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. San Giovanni Teatino,Total,40,11,:,-21.56862745,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. San Salvo,Total,521,76,:,-12.73031826,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Tollo,Total,103,38,:,-26.95035461,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Torriccella Peligna,Total,44,6,:,-12.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Vasto,Total,846,152,:,-15.23046092,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,D.S.B. Villa Santa Maria,Total,362,128,:,-26.12244898,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,Ex ospedale pediatrico di Chieti,Total,180,0,:,0.0,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,Itab,Total,456,102,:,-18.27956989,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"Ospedale ""San Camillo De Lellis"" di Atessa",Total,1276,535,:,-29.54168967,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"Ospedale ""Ss. Annunziata"" di Chieti",Total,40853,2739,:,-6.283262984,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"Ospedale ""Floraspe Renzetti"" di Lanciano",Total,15457,2380,:,-13.34305096,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"Ospedale ""Bernabeo"" di Ortona",Total,3176,1475,:,-31.71360998,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"Ospedale ""San Pio da Pieterelcina"" di Vasto",Total,12014,1326,:,-9.940029985,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"P.T.A. ""Consalvi"" di Casoli",Total,1988,69,:,-3.354399611,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,P.T.A. Gissi,Total,439,36,:,-7.578947368,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,"P.T.A. Guardiagrele ""SS. Immacolata""",Total,659,123,:,-15.72890026,
Medical exams,Abruzzo,Chieti,Asl 2 Abruzzo,Pneumologia territoriale Chieti,Total,151,190,:,-55.71847507,
Medical exams,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 1 Bassano,Total,31981,5455,:,-14.57153542,"The figure includes 3,669 exams performed by private structures accredited"
Medical exams,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 2 Alto Vicentino,Total,24183,5462,:,-18.42469219,"The data includes 2,354 exams performed by the private structures accredited"
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Monopoli,Total,236,73,:,-23.62459547,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Polignano,Total,91,48,:,-34.5323741,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Alberobello,Total,21,4,:,-16.0,
Medical exams,Puglia,Bari,Asl Bari,Ospedale Santa Maria degli Angeli di Putignano,Total,1676,1187,:,-41.46000699,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Casamassima,Total,542,445,:,-45.08611955,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio di Conversano,Total,3130,1032,:,-24.79577126,"The figure includes 9 exams executed and 0 returned to the ""F. Jaia"" hospital in Conversano"
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio di Gioia Del Colle,Total,1099,791,:,-41.85185185,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Sammichele,Total,33,29,:,-46.77419355,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Turi,Total,53,29,:,-35.36585366,
Medical exams,Puglia,Bari,Asl Bari,Ospedale San Giacomo di Monopoli,Total,2022,1116,:,-35.56405354,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Locorotondo,Total,13,14,:,-51.85185185,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Putignano,Total,605,459,:,-43.13909774,
Medical exams,Puglia,Bari,Asl Bari,Ser.D. Gioia Del Colle,Total,3,0,:,0.0,
Medical exams,Puglia,Bari,Asl Bari,Ospedale Don Tonino Bello di Molfetta,Total,1581,709,:,-30.96069869,The data includes 3 exams executed and 0 returned to the TisiPN center. Molfetta
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Molfetta,Total,431,268,:,-38.34048641,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Giovinazzo,Total,148,113,:,-43.29501916,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Bitonto,Total,777,400,:,-33.98470688,
Medical exams,Puglia,Bari,Asl Bari,Polambulatorio Ruvo Di Puglia,Total,727,428,:,-37.05627706,
Medical exams,Puglia,Bari,Asl Bari,"Ospedale ""Umberto I"" di Corato",Total,1690,788,:,-31.79983858,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Corato,Total,442,383,:,-46.42424242,
Medical exams,Puglia,Bari,Asl Bari,"Ospedale ""Sarcone"" di Terlizzi",Total,2449,1728,:,-41.36940388,The figure includes 142 visits performed and 145 postponed to the clinic of Terlizzi
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Palo Del Colle,Total,269,129,:,-32.4120603,
Medical exams,Puglia,Bari,Asl Bari,Servizio Riabilitazione Ex Art 25 Terlizzi,Total,10,1,:,-9.090909091,
Medical exams,Puglia,Bari,Asl Bari,Ser.D. Ruvo,Total,9,5,:,-35.71428571,
Medical exams,Puglia,Bari,Asl Bari,Ser.D. Bitonto,Total,15,25,:,-62.5,
Medical exams,Puglia,Bari,Asl Bari,Servizio Riabilitazione Ex Art 25 Corato,Total,16,16,:,-50.0,
Medical exams,Puglia,Bari,Asl Bari,Ospedale Di Venere di Bari,Total,3982,3909,:,-49.53744773,
Medical exams,Puglia,Bari,Asl Bari,Poliambulatorio Bari Japigia,Total,587,372,:,-38.79040667,
Medical exams,Puglia,Bari,Asl Bari,Ospedale San Paolo di Bari,Total,4981,3207,:,-39.16707377,
