Prestazione,Regione,Provincia,Fonte,Ospedale,Tipologia,Eseguiti,Rinviati,Eseguiti nel 2019,Variazione percentuale,Note
Chemioterapie,Sicilia,Catania,Arnas Garibaldi,Arnas Garibaldi,Totale,225,0,:,0.0,
Chemioterapie,Sicilia,Catania,AOU Policlinico Rodolico-San Marco,AOU Policlinico Rodolico-San Marco,Totale,34,0,:,0.0,
Chemioterapie,Lombardia,Varese,Asst Sette Laghi,Asst Sette Laghi,Totale,2775,0,:,0.0,
Chemioterapie,Lombardia,Mantova,Asst Mantova,Asst Mantova,Totale,851,0,:,0.0,
Chemioterapie,Lombardia,Lecco,Asst Lecco,Asst Lecco,Totale,1460,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale Carlo Mira di Casorate Primo,Totale,23,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale di Mede,Totale,25,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale Asilo Vittoria di Mortara,Totale,31,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale unificato di Broni - Stradella,Totale,129,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale Ss. Annunziata di Varzi,Totale,66,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale civile di Vigevano,Totale,476,0,:,0.0,
Chemioterapie,Lombardia,Pavia,Asst Pavia,Ospedale civile di Voghera,Totale,252,0,:,0.0,
Chemioterapie,Piemonte,Torino,Asl Torino 4,Ospedale di Chivasso,Totale,330,0,:,0.0,
Chemioterapie,Piemonte,Torino,Asl Torino 4,Ospedale di Ciriè,Totale,315,0,:,0.0,
Chemioterapie,Piemonte,Torino,Asl Torino 4,Ospedale di Ivrea,Totale,754,0,:,0.0,
Chemioterapie,Campania,Napoli,Asl Napoli 3 Sud,Ospedale di Sorrento,Totale,151,0,:,0.0,
Chemioterapie,Campania,Napoli,Asl Napoli 3 Sud,Ospedale Santa Maria della Pietà di Nola,Totale,332,0,:,0.0,
Chemioterapie,Campania,Napoli,Asl Napoli 3 Sud,Ospedale Cavalier Raffaele Apicenna di Pollena Trocchia,Totale,342,0,:,0.0,
Chemioterapie,Lombardia,Lodi,Asst Lodi,Asst Lodi,Totale,410,0,:,0.0,
Chemioterapie,Lombardia,Brescia,Asst Valcamonica,Asst Valcamonica,Totale,328,0,:,0.0,
Chemioterapie,Lombardia,Sondrio,Asst Valtellina e Alto Lario,Asst Valtellina e Alto Lario,Totale,1286,0,:,0.0,
Chemioterapie,Lazio,Roma,Asl Roma 3,Asl Roma 3,Totale,701,0,:,0.0,
Chemioterapie,Umbria,Perugia,Azienda Usl Umbria 1,Azienda Usl Umbria 1,Totale,1411,0,:,0.0,
Chemioterapie,Umbria,Terni,Azienda Usl Umbria 2,Azienda Usl Umbria 2,Totale,1445,0,:,0.0,
Chemioterapie,Lombardia,Cremona,Asst Cremona,Asst Cremona,Totale,5036,24,:,-0.474308300395257,Il dati sono una nostra elaborazione a partire dai dati forniti
Chemioterapie,Sicilia,Catania,Asp Catania,Asp Catania,Totale,14,13,:,-48.1481481481482,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019"
